# THERMINATOR 2 Log File
[2021-12-03 19:13:19]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi11a.root	hbtradii.txt	
[2021-12-03 19:13:27]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi12a.root	hbtradii.txt	
[2021-12-03 19:58:53]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 19:59:05]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
[2021-12-03 19:59:22]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi6a.root	hbtradii.txt	
[2021-12-03 19:59:29]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi7a.root	hbtradii.txt	
[2021-12-03 19:59:37]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi8a.root	hbtradii.txt	
[2021-12-03 19:59:44]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi9a.root	hbtradii.txt	
[2021-12-03 19:59:50]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi10a.root	hbtradii.txt	
[2021-12-03 20:00:07]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi11a.root	hbtradii.txt	
[2021-12-03 20:00:16]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi12a.root	hbtradii.txt	
[2021-12-03 20:04:09]	therm2_hbtfit	pion-pion	[input]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	./femtoFit.ini	pion-pion	
[2021-12-03 20:04:22]	therm2_hbtfit	pion-pion	[output]	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4femto/	/home/jedkol/Downloads/modelSR/HBT/MotoMoto/H165E0D4hbtfit/hbtfitpipi5a.root	hbtradii.txt	
